sampleID,Clmp,Matn2,Cpe,Gcg,Gdnf,Yes1,Il17a,Foxo1,Tnfrsf11b,Tgfb1,Pla2g4a,Il6,Prdx5,Tgfa,Ccl5,Epo,Axin1,Fst,Rgma,Nadk,Tnni3,Notch3,Snap29,Cntn1,Clstn2,S100a4,Ca13,Mia,Cant1,Kitlg,Gfra1,Ppp1r2,Adam23,Itgb6,Cyr61,Dlk1,Ahr,Ccl2,Eno2,Plin1,Wfikkn2,Flrt2,Qdpr,Fas,Erbb4,Riox2,Plxna4,Epcam,Ccl3,Crim1,Vsig2,Hgf,Sez6l2,Il1a,Il23r,Dll1,Ddah1,Il10,Tnfrsf12a,Acvrl1,Lgmn,Csf2,Cxcl9,Map2k6,Itgb1bp2,Il17f,Il1b,Casp3,Apbb1ip,Wisp1,Cdh6,Pdgfb,Igsf3,Tgfbr3,Cxcl1,Pak4,Cntn4,Ghrl,Lpl,Fstl3,Dctn2,Il5,Eda2r,Ntf3,Tnfsf12,Ccl20,Fli1,Tpp1,Tnr,Vegfd,Parp1,Tnf
23MFT8:2-Day_3,1.764367281,1.225012118,2.250869516,0.339813671,0.551190509,0.237569549,0.880249628,0.719918097,1.618845945,2.454995686,6.475481513,2.027258467,8.488783147,3.281967873,3.128283078,-0.120304723,3.689375053,6.220317512,1.197006069,5.924326728,0.640300259,0.855989354,8.944733684,2.613309653,0.841120863,9.554110034,4.029373214,1.650031054,0.062216789,0.770669291,1.29073161,3.293151892,-0.155437223,0.46760824,1.607255107,2.045324843,0.534160513,13.25305648,1.577517726,1.146832455,2.180994343,1.058590277,5.520033909,2.216462738,0.935426926,4.076262458,0.50037924,-0.314167358,6.903325501,1.847107152,-0.253514158,3.440060786,1.971090116,5.229301176,1.338979116,0.725693303,2.989951672,1.558128173,0.997697679,1.336313372,2.30942005,1.144856888,4.828867018,7.80440685,-0.608095155,0.180911778,2.089133058,9.073678139,3.512337728,2.133165864,0.735304904,4.508887734,1.271923623,0.359466627,10.94685899,1.070151505,0.684607615,0.873676978,0.998605973,2.234060692,4.275688589,1.004481232,-0.088802681,1.219643984,1.134060898,3.978691284,1.712318621,1.584916266,0.053882955,0.77147622,4.208529781,0.98711473
23MFT8:4-Day_7,1.47955091,1.407588787,1.921191229,0.30151221,0.940495295,0.423920083,0.949159485,1.272123388,0.907042958,2.229187494,5.855090284,1.725799667,9.154495388,4.151319899,2.423691825,0.275970282,3.949941648,6.178471027,0.975887933,6.362699359,0.296183273,0.79014392,8.757070521,2.46453165,0.909095361,10.39791321,4.480773114,1.628718597,-0.543997917,0.532689444,1.114389863,3.282515483,-0.462354527,-0.260841163,1.295682377,1.919622891,1.289457114,7.410509637,1.716083783,1.181850727,1.416374351,2.356506071,5.215004752,2.381663155,1.106903083,5.149453828,0.790269474,0.848189744,5.729291117,1.734166699,0.13730593,3.857336601,1.924705817,6.062096736,1.847818879,0.871513041,3.051808875,0.718594843,0.889044713,1.573329213,1.678114003,1.051886163,2.49321577,7.793086477,0.001498907,0.225802151,3.268365788,8.951189638,3.472286183,2.215696536,0.620824412,3.976778909,1.189542198,0.287710033,8.050918675,1.488314067,0.525199004,0.63552202,0.970563214,1.883059706,4.570738898,1.189737867,0.461268882,1.159387516,1.556588403,4.085225216,2.559855021,1.249320616,0.301070366,0.206413188,4.843154122,1.270334931
23MFT8:2-Day_5,2.259193268,1.030220679,1.541903439,0.340368697,0.571659305,0.188061069,1.004408393,1.106738699,1.28546237,2.862249903,6.092893387,2.466755389,8.634564719,3.457777017,3.327804045,0.312615314,3.125930903,5.962717074,1.070318536,5.738021761,0.948097561,1.025891352,8.682715713,1.926380243,1.185079728,9.716490545,3.816172032,1.63198172,-0.56172177,0.637022216,1.594993637,3.149796366,-0.066235768,-0.424577589,1.470367291,2.12246228,0.532879493,11.47355463,1.414341348,1.442289669,2.615237016,0.97069101,5.13597349,2.61518956,1.005943121,4.693683875,0.388964272,-0.240216619,6.774651662,1.316221932,0.092925261,3.167783407,1.942978979,5.236365398,1.504404037,0.904438255,2.867011933,1.309638611,1.326920173,1.503593863,1.974856676,1.11087301,5.4005734,7.325025828,-0.018692437,0.191268359,2.992449259,8.900536826,3.254199736,2.493658701,0.590584226,4.390181406,0.990084283,0.319269792,8.953029725,0.943196459,0.512554861,1.302818658,0.709505694,2.329253233,3.875787216,0.174560905,0.774217303,1.362104755,0.618720043,4.192130813,2.560530082,1.285992698,0.272011239,0.529847729,4.29554854,1.161898952
23MFT8:3-Day_1,2.358795181,1.74248978,1.70034784,0.165542958,0.710263811,0.433606154,0.636903139,1.26262347,1.052824226,2.616991123,6.960971609,1.700327191,8.987566534,4.064681349,2.58694364,-0.128119689,4.040663275,6.399645262,1.244012011,6.45633548,0.021792275,1.04566708,8.852750535,2.654905102,0.919133772,10.31075974,4.178826895,1.657111162,-0.230148503,0.669743445,1.234040524,3.345896971,-0.271002671,-0.070759582,1.268966997,2.058293202,0.946868047,8.077136108,1.540277528,1.168866282,3.659246838,1.191593986,5.477912129,2.399253602,0.860498282,5.361151726,0.67971012,0.13198673,5.518385267,1.088599304,0.238749504,3.624103079,2.045053083,5.760305948,1.828194013,0.772468881,3.167157368,1.499028893,1.307670985,1.692224059,1.407307392,0.751997902,2.70180706,7.991049107,-0.069049855,0.440489284,3.357358766,9.076460554,3.564488204,2.551669259,0.679279804,5.509788,1.162166807,0.377271455,7.861023234,1.465258785,0.738545691,1.033599499,0.4353844,2.379472534,4.53835097,0.013000171,0.168884591,1.514653013,1.709887282,4.102285745,2.541278802,1.534407286,0.748228734,0.340074162,4.586022406,0.632076715
23MFT7:2-Day_1,1.545440746,-0.431345061,1.980840639,-0.444217116,0.870056886,0.070156815,1.056444696,1.278355764,1.051052237,2.779536719,7.295878771,1.247022426,8.563644543,3.38279941,2.334972615,-0.044406337,4.297451748,5.792992998,1.298249695,5.957511112,0.965176351,1.198923808,8.964148403,2.749231952,1.32228789,8.471765546,4.01014754,1.875162533,-0.079535773,0.939426206,1.160190579,3.606734609,-0.125530064,0.810929365,1.223149023,2.003979513,0.582647153,7.789153537,1.377791673,1.43153424,1.995404499,0.844203235,5.576275644,2.228495482,1.329333175,5.735225076,0.97827071,-0.151906273,5.500159551,1.424052419,0.651402534,3.698806566,2.445904685,5.822776792,1.667957975,0.836261151,2.832195444,1.52456861,1.279236828,1.747752577,1.100958057,1.352328549,2.816945558,8.001277534,0.334158983,0.338078411,3.534575341,9.108172113,3.656082924,2.180036889,0.711483593,5.542347602,1.605352556,0.256260553,8.09990026,1.890815372,0.79109431,0.985066388,0.877281928,1.174542275,4.852127785,1.254143899,-0.560107306,1.659238244,-0.063598561,3.923294097,2.937896063,1.988473506,0.332399356,0.90176319,4.850417151,1.332135154
23MFT8:2-Day_7,2.638730885,0.330480617,1.498040941,-0.364284921,0.521994802,0.040462669,0.891113776,1.35099988,1.054562197,3.359322327,6.937936239,1.329923676,8.945241224,3.382871258,3.49875,-0.134563725,3.864310719,6.699815145,0.907711466,6.52960533,0.779157972,1.027849902,8.709235067,2.174873261,1.190429823,9.61015931,4.326148876,1.601556129,-0.627426117,0.714306519,0.984732872,3.107143228,-0.367136839,0.257049048,1.757251456,2.177172582,0.237009648,9.717688829,1.89628976,0.906485648,2.223749839,0.718911271,5.258489789,2.928289232,0.956652143,6.004705508,0.642283427,0.116709069,7.41025652,1.584027531,-0.08564091,4.161568311,2.017112085,5.501447914,1.700849567,1.097258119,2.825004408,1.191004662,1.415649016,1.626087769,1.875792772,0.863295296,4.403492627,7.515910091,-0.101368009,0.175075794,3.219753068,8.919977352,3.427880869,2.397853685,0.377006233,5.248203223,1.183694663,0.179814156,8.39986499,1.637607942,0.5308762,1.335562288,0.66309299,2.190192232,4.139720772,0.896646396,0.461765015,1.237208651,1.926048618,5.125103178,3.477282938,1.268636845,0.187211669,0.353300607,5.345102386,0.825767791
23MFT7:2-Day_14,1.627707782,-0.231652324,1.439326009,0.663725414,0.24539367,0.453125601,0.697070071,1.245675586,0.664286209,1.927918742,6.957486174,0.93641067,8.843065353,3.372649342,1.974673957,-0.352193439,3.979812202,6.053357992,1.083953235,5.485303892,0.578937377,0.861822555,8.941025765,2.300097869,0.829634406,10.17880046,4.822075258,1.578094575,-0.278261333,0.74025601,1.188570442,3.675223746,-0.649724662,-0.146376144,0.806778866,1.680222792,0.891722074,7.082885609,1.773015507,0.670471396,2.926804887,1.143896002,5.423723294,1.95601081,0.823753891,4.754911064,0.834534367,-0.697232764,4.128862387,1.760328411,-0.072059131,3.055721906,2.025607189,6.266875642,1.466082481,0.588114432,3.258405187,1.296139718,0.857085595,1.651889399,1.142839463,0.951535069,2.738187503,8.00254965,-0.395841461,0.173466838,2.280956619,9.125155055,3.652508359,2.078534768,0.705660189,4.951917608,1.256902186,0.385193989,7.704093917,1.167265495,0.61643139,0.75480766,0.842182954,1.410019403,4.496452148,1.001468501,-0.335664926,1.347647615,1.190422891,3.561805193,2.326512325,1.548034764,0.118090929,0.470405125,4.269836536,0.735953251
23MFT8:5-Day_7,2.270058557,0.92172391,1.469028006,0.729895764,0.328371529,0.612335283,0.814231423,1.401881827,1.013101001,2.621327508,7.050171175,0.809505046,8.535549614,3.4813591,2.802659317,0.273907118,3.604047847,6.21239303,1.267528234,5.601512173,0.48267014,0.651829774,8.964365778,1.846878498,0.892071871,9.455554799,4.278523835,1.411090399,-0.253834048,0.531522762,0.912041267,3.27885673,0.03144026,0.39790602,1.765810967,2.048599676,0.618317403,9.057693338,1.413435347,0.886416963,1.907113643,0.718933854,5.286601579,2.455843103,0.94931101,5.512028037,0.927455815,0.31546065,5.978392253,1.835320905,0.738430197,4.153573384,1.950841087,5.447041532,1.889849196,0.758312191,2.740389652,1.483143858,1.542272373,1.577980747,1.693250051,1.015442395,4.330515479,7.669884287,0.13978588,0.3482629,2.364807071,8.973827475,3.444644541,2.477012921,0.298668254,4.886326608,1.149599912,0.204531539,7.960147378,1.376098863,0.723695716,1.478486956,0.387399424,1.904197132,4.214461435,0.780089994,0.694639866,1.432630505,1.030548687,4.550733171,2.816957634,1.228274005,0.105424262,0.730058303,4.528403875,1.209164682
23MFT8:5-Day_4,1.739206302,1.640362983,2.163225877,0.419963773,0.423047063,0.30285716,0.473473066,0.97349671,2.092863539,2.900891487,7.575173341,2.99932751,8.472579047,3.237281492,3.754752143,-0.220125855,4.178440039,6.437438611,0.928465316,6.599226938,0.070270758,0.737251146,9.269739793,2.5903627,0.97386531,8.711372957,4.354099629,1.458512596,-0.142313756,0.3726867,1.46042986,3.57614853,-0.742774157,-0.182788798,1.940358676,1.974880155,0.560687352,13.42091233,1.474429088,1.006575079,2.348543281,0.937798378,5.497257113,2.436132787,0.945378439,4.985672274,0.601329195,-0.141768064,6.947059763,1.543015864,-0.932847226,3.718358116,2.232660569,5.698795411,1.087677739,0.904484279,3.088812351,0.676342021,1.128531806,1.450968917,2.880699445,0.476552099,5.134570272,7.975296105,-0.885470951,-0.112951271,1.983004258,9.039924849,3.739528354,2.251448859,0.466838246,5.318161468,1.325003847,0.137148733,11.88606586,1.382484612,0.455225531,1.096180035,0.813313793,1.945568761,4.658869887,0.741865792,0.263994786,1.090161171,1.002374137,5.211921662,2.467691406,2.173076078,0.289691267,0.450704896,4.044586997,0.964956201
23MFT8:3_D14_4,1.337304365,0.66292207,1.513977923,0.852225334,0.229086391,-0.286782445,0.441886993,0.432729687,1.072914444,3.210549234,4.42137464,0.609352099,7.018737816,3.176264096,1.917374888,0.771217025,3.493069775,5.305257186,1.073390132,3.468688314,5.964472444,1.068813029,8.634641326,3.230274984,1.338148136,5.324753546,2.959117468,1.486773805,-0.56222811,0.41016153,0.876303144,2.633930776,-0.38253584,-0.483517462,1.298581369,1.97145493,0.060647013,6.648758116,1.399510354,0.994607514,2.257721406,0.981737038,4.903091713,1.548394412,1.365927134,2.0671153,0.551743502,0.125430962,2.03606925,1.568255994,-0.356475937,2.129379932,2.652285758,1.389470106,1.879051839,0.468729577,2.633336376,1.281029308,1.475393327,1.541041567,0.841101162,0.492478761,2.412498162,6.960772475,-0.028888618,-0.121705155,1.405661535,9.029629731,3.145272369,2.332278164,0.398184105,6.180708231,1.553711647,0.283116403,7.481223894,1.036269374,0.885355278,1.60215977,-0.053240379,1.20569929,4.025275131,0.061752364,0.070402308,1.147412068,0.86804446,3.446929857,1.275656319,1.516962247,0.43922701,0.531556071,2.999766811,0.336670387
